,GELID,lat,lon,dep,e,n,z,azi1,dip1,sig1,azi2,dip2,sig2,azi3,dip3,sig3,NP,NS,CLID,LT,ML,SEDID,DateTime,Mw
0,Main00048,47.585609999999996,7.59355,4289,-8.3,-53.5,-65.0,39.3,0.1,2.9,309.2,17.9,4.4,309.7,-72.1,6.8,4,4,CL160,DG,,------,2006-12-02 22:05:18,0.4
1,Main00247,47.585609999999996,7.59355,4295,-8.3,-53.5,-59.0,43.9,-2.8,3.0,314.7,15.6,4.6,304.2,-74.1,7.1,4,4,CL160,DG,,------,2006-12-03 00:14:48,0.5
2,Main00271,47.58709,7.592410000000001,4199,-94.4,110.9,-155.0,60.2,-10.3,2.7,323.3,-33.6,5.6,344.9,54.4,5.7,6,6,CL045,DG,,------,2006-12-03 00:20:48,0.9
3,Main00331,47.58593,7.59353,4518,-9.9,-17.9,164.0,63.9,-11.0,3.2,339.9,28.5,4.3,314.9,-59.0,7.5,4,5,CL151,DG,,------,2006-12-03 00:36:48,0.6
4,Main00393,47.58637,7.59318,4343,-36.3,30.9,-11.0,34.8,14.4,31.3,138.3,23.7,47.8,353.4,61.7,52.8,74,70,---,DD,0.8,SED001,2006-12-03 00:59:19,1.4
5,Main00478,47.5863,7.592969999999999,4296,-52.1,23.1,-58.0,47.8,-1.9,2.9,318.5,20.5,4.4,312.8,-69.4,6.5,4,5,CL349,DG,,------,2006-12-03 01:28:26,0.5
6,Main00494,47.58567,7.59377,4369,8.2,-46.8,15.0,43.9,3.8,3.1,313.2,10.8,4.4,333.2,-78.6,6.0,6,6,CL225,DG,,------,2006-12-03 01:31:01,0.6
7,Main00576,47.58595,7.593710000000001,4441,3.6,-15.7,87.0,244.6,16.9,4.0,338.8,13.7,4.6,285.8,-68.0,7.9,4,5,CL294,DG,,------,2006-12-03 01:57:01,0.5
8,Main00585,47.5868,7.592639999999999,4369,-77.1,78.7,15.0,237.0,10.7,2.8,329.5,13.3,5.2,289.5,-72.8,7.0,6,6,CL216,DG,,------,2006-12-03 01:59:13,0.5
9,Main00622,47.58605,7.59333,4268,-25.0,-4.6,-86.0,59.5,-10.3,2.8,336.1,32.4,6.0,314.1,-55.6,7.5,6,6,CL066,DG,,------,2006-12-03 02:07:44,0.7
10,Main00624,47.58605,7.59333,4268,-25.0,-4.6,-86.0,240.0,10.4,2.8,337.9,36.8,6.4,316.7,-51.2,7.2,6,6,CL066,DG,,------,2006-12-03 02:07:44,0.7
11,Main00666,47.58591,7.593539999999999,4523,-9.2,-20.2,169.0,45.6,5.8,3.7,314.2,13.0,4.4,339.1,-75.7,6.8,4,4,CL151,DG,,------,2006-12-03 02:21:16,0.4
12,Main00695,47.586059999999996,7.59329,4285,-28.0,-3.5,-69.0,60.1,-10.1,2.9,338.3,38.9,6.1,318.1,-49.4,8.0,6,6,CL066,DG,,------,2006-12-03 02:27:54,0.9
13,Main00710,47.58625,7.5930800000000005,4305,-43.8,17.6,-49.0,46.6,-9.5,12.6,138.6,-11.7,23.0,278.5,-74.9,29.0,29,67,CL349,DD,,------,2006-12-03 02:32:26,0.5
14,Main00768,47.58746,7.593189999999999,4257,-35.8,152.1,-97.0,233.3,8.9,2.7,144.9,-10.6,3.7,284.2,-76.1,6.3,6,6,CL107,DG,,------,2006-12-03 02:56:36,0.5
15,Main00835,47.58623,7.593139999999999,4327,-39.3,15.4,-27.0,49.4,-5.0,3.3,138.9,4.8,6.1,185.4,-83.0,10.0,5,6,CL158,DG,,------,2006-12-03 03:27:01,0.6
16,Main00846,47.587070000000004,7.59243,4195,-92.9,108.7,-159.0,60.0,-11.6,2.8,313.7,-53.9,5.6,157.8,-33.6,6.1,6,6,CL045,DG,,------,2006-12-03 03:32:27,0.8
17,Main00923,47.58678,7.59287,4353,-59.7,76.5,-1.0,32.7,14.4,15.2,178.9,-66.5,39.6,317.9,-18.1,53.1,44,39,CL216,DD,1.0,SED002,2006-12-03 04:08:06,1.5
18,Main01000,47.58763,7.59179,4130,141.2,170.8,-224.0,52.4,-15.3,2.8,144.9,-8.8,3.8,263.7,-72.2,6.1,6,6,CL052,DG,,------,2006-12-03 04:53:35,0.7
19,Main01029,47.586240000000004,7.5938,4397,10.3,16.6,43.0,67.0,-9.8,18.4,342.6,29.7,31.0,320.6,-58.4,46.8,43,44,CL062a,DD,0.9,SED003,2006-12-03 06:41:44,1.2
20,Main01037,47.58705,7.59244,4199,-92.2,106.4,-155.0,58.0,-16.4,2.9,147.2,2.4,5.3,229.0,-73.4,7.1,5,6,CL045,DG,,------,2006-12-03 07:21:50,0.8
21,Main01041,47.586859999999994,7.592639999999999,4353,-77.1,85.3,-1.0,238.9,9.6,2.9,331.7,16.0,5.5,299.1,-71.2,7.0,6,6,CL216,DG,,------,2006-12-03 07:33:57,0.7
